"Property","Type","Units","Manager","Assistant Mgr","Compliance Specialist","Address","City","State","Zip","Office","Fax","Manager Email","RPM","RVP","Latitude","Longitude","Created","Created By","Last Modified","Modified By"
"140 on Royal","C","48","Bethany Sizemore","","NA","140 Royal Drive","Madison","AL","35758","256-772-6736","256-585-6772","140onroyal@gatewaymgt.com","Shirley Greer","Paula Hall","0","0","2025-08-01T17:54:09Z","Alan Branch","2025-09-11T21:43:31Z","Stevens Elise Key"
"Abbington at Summit","55","52","Pam Ford","","Tammy","951 Old Grants Mill Road","Birmingham","AL","35210","205-206-7111","(763) 290-1918","abbingtonsummit@gatewaymgt.com","T'arra Brown","Erin Loupe","33.53161","-86.6901","2025-08-01T17:54:09Z","Alan Branch","2025-09-12T15:16:59Z","Stevens Elise Key"
"Abbington Reserve Apartments","F","238","Terrell Treadwell","Lettice Kinsey","Tammy","3051 Lumby Drive","Decatur","GA","30034","678-608-4988","(678) 608-4988","abbingtonreserve@gatewaymgt.com","Brenda Jackson","Toni Raymond","0","0","2025-08-01T17:54:09Z","Alan Branch","2025-09-12T15:18:41Z","Stevens Elise Key"
"Agape - Lease up","F","222","Aaron Lawrence","Paula Smith","Amber","1590 Agape Way","Decatur","GA","30035","470-571-3001","","agape@gatewaymgt.com","Arglidian McElheney","Toni Raymond","0","0","2025-08-01T17:54:09Z","Alan Branch","2025-09-30T17:20:20Z","Amy Beans"
"Alexander Village","55","48","Charity Wright","Tracey Smith","Kimberly","200 Alexander Village","Florence","AL","35634","256-766-0048","256-768-5833","alexandervillage@gatewaymgt.com","Shirley Greer","Paula Hall","34.88155","-87.6773","2025-08-01T17:54:09Z","Alan Branch","2025-09-12T15:23:22Z","Stevens Elise Key"
"Americus Garden Apts.","F","44","TBD","TBD","Becky","730 S. MLK Blvd.","Americus","GA","31719","229-924-7475","229-213-3534","americus@gatewaymgt.com","Chantelle Boone","Toni Raymond","36.16229","-115.161","2025-08-01T17:54:09Z","Alan Branch","2025-09-24T18:33:10Z","Amy Beans"
"Atmore Senior","55","50","Ashley Thomas","","Tammy","1100 McRae Street","Atmore","AL","36502","251-973-6000","(251) 416-8057","atmoresenior@gatewaymgt.com","Kat Butts","Paula Hall","34.24815","-77.9379","2025-08-01T17:54:09Z","Alan Branch","2025-09-19T19:14:20Z","Amy Beans"
"Augustine, The","55","104","Shellie Fennel","Betty Hutto","Paulette","825 Booth Road","Warner Robins","GA","31088","478-366-2750","","theaugustine@gatewaymgt.com","Jonathan Marrero","Toni Raymond","32.59198","-83.6062","2025-08-01T17:54:09Z","Alan Branch","2025-09-12T16:45:50Z","Stevens Elise Key"
"Autumn Ridge","F","48","Michelle Laughlin","","Becky","300 Autumn Ridge Drive","Jacksonville","NC","28546","910 938-9800","(910) 420-4548","autumnridge@gatewaymgt.com","Melissa Valley","Melissa Valley","42.25038","-122.786","2025-08-01T17:54:09Z","Alan Branch","2025-09-12T15:27:30Z","Stevens Elise Key"
"Bailey Springs","55","28","Demetria Byrd","TBD","Becky","939 Bailey Springs Drive","Lincolnton","NC","28092","704-736-1222","(980) 281-2007","baileysprings@gatewaymgt.com","Melissa Valley","Melissa Valley","35.49307","-81.238","2025-08-01T17:54:09Z","Alan Branch","2025-09-12T15:29:00Z","Stevens Elise Key"
"Baytown Village","62","48","Reagan Abner","","Gail","4291 McCrary Road","Semmes","AL","36575","251-338-0634","(251) 973-6291","baytown@gatewaymgt.com","Kat Butts","Paula Hall","36.05389","-86.4206","2025-08-01T17:54:09Z","Alan Branch","2025-09-12T15:29:44Z","Stevens Elise Key"
"Belle Isle Apts.","55","28","TBD","","Tammy","18720 Hwy 90","Robertsdale","AL","36567","251-947-4055","866-645-1882","belleisle@gatewaymgt.com","Kat Butts","Paula Hall","30.04923","-94.72","2025-08-01T17:54:09Z","Alan Branch","2025-09-12T15:30:23Z","Stevens Elise Key"
"Blue Springs","F","40","Michelle Laughlin","","Becky","460 McDaniel Drive","Jacksonville","NC","28546","910-346-3300","(910) 673-8583","bluesprings@gatewaymgt.com","Melissa Valley","Melissa Valley","34.78666","-77.3919","2025-08-01T17:54:09Z","Alan Branch","2025-09-12T15:30:59Z","Stevens Elise Key"
"Bocage","62","58","Kathryn Holder","","Amber","909 Brandywine Ln","Norman","OK","73071","405-310-1668","","bocage@gatewaymgt.com","Diana Stoflet","Erin Loupe","39.98557","-76.7648","2025-08-01T17:54:09Z","Alan Branch","2025-09-12T15:31:36Z","Stevens Elise Key"
"Bradbury","F","40","Demetria Byrd","","Bendetta","2901 Old Conover","Newton","NC","28658","828- 465-6221","828-771-2010","bradbury@gatewaymgt.com","Melissa Valley","Melissa Valley","35.69448","-81.2307","2025-08-01T17:54:09Z","Alan Branch","2025-09-12T15:32:27Z","Stevens Elise Key"
"Brentwood Landing Apts.","F","80","Chequila Mchone","Kathy Wright","Bendetta","597 Covered Bridge Pkwy","Prattville","AL","36066","334-491-1888","334-419-1889","brentwood@gatewaymgt.com","T'arra Brown","Erin Loupe","32.47585","-86.4151","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:34:37Z","Stevens Elise Key"
"Brentwood Landing II Apts.","F","96","Chequila Mchone","Kathy Wright","Bendetta","549 Covered Bridge Pkwy","Prattville","AL","36066","334-491-1888","334-419-1889","brentwood2@gatewaymgt.com","T'arra Brown","Erin Loupe","32.47568","-86.4125","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:35:24Z","Stevens Elise Key"
"Bridges at Landrum","F","200","Tasha Taylor","Anique Tate","Bendetta","2944 Landrum Drive, SW","Atlanta","GA","30311","470-668-2550","","bridgesatlandrum@gatewaymgt.com","Brandi Harris","Toni Raymond","33.7042","-84.4845","2025-08-01T17:54:10Z","Alan Branch","2025-10-01T14:05:28Z","Amy Beans"
"Brook Pointe","F","192","Alexis Williams","Angelina Neal","","504 N Pierce Street","Lafayette","LA","70501","337-227-9772","","brookpointe@gatewaymgt.com","TBD","Erin Loupe","0","0","2025-08-01T17:54:10Z","Alan Branch","2025-09-29T14:20:56Z","Amy Beans"
"Brookstone Village","55","46","Effie Parker","Revonda Gardner-Bedingfield","Kimberly","705 Gardner Dr. SE","Jacksonville","AL","36265","256-782-0736","256-513-7520","brookstone@gatewaymgt.com","Anna Walters","Erin Loupe","33.80913","-85.7523","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:37:33Z","Stevens Elise Key"
"Candler Reserve - Lease up","F","192","Keyounia Hervey","Rachel Edmondson","Paulette","2648 Candler Parkway","Decatur","GA","30032","470-579-5550","","candlerreserve@gatewaymgt.com","Arglidian McElheney","Toni Raymond","33.72813","-84.2826","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:38:56Z","Stevens Elise Key"
"Canebreak","55","32","Kimberly Hoefler","","Tammy","4901 Amy Drive","Wilmington","NC","28403","910- 392-8101","(910) 900-4499","canebreak@gatewaymgt.com","Melissa Valley","Melissa Valley","35.2922","-80.7263","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:39:29Z","Stevens Elise Key"
"Canter Chase","F","56","Robert Kiker","","Bendetta","1105 Clearview Avenue","Lawrenceburg","TN","38464","931-231-8222","931-201-4041","canterchase@gatewaymgt.com","Shirley Greer","Paula Hall","44.98183","-123.022","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:40:00Z","Stevens Elise Key"
"Capstone at Barton Chapel (Trinity Manor)","F","100","Beverly Bunting","Rezeile Rodriguez","Kimberly","2375 Barton Chapel Rd","Augusta","GA","30906","706-798-3183","706-723-8433","bartonchapel@gatewaymgt.com","Sharon Waldo","Melissa Morefield-Valley","33.43652","-82.088","2025-08-01T17:54:10Z","Alan Branch","2025-09-12T15:41:05Z","Stevens Elise Key"
"Carolina Oaks","F","48","TBD","","Paulette","1302 Scarlet Lane","Myrtle Beach","SC","29577","843-712-2028","843-353-0200","carolinaoaks@gatewaymgt.com","Melissa Valley","Melissa Valley","-43.4803","172.6113","2025-08-01T17:54:10Z","Alan Branch","2025-09-30T17:12:56Z","Amy Beans"
